movie_id,genre
14062,Thriller
8741,Drama
8741,History
8741,War
9763,Drama
63311,Drama
63311,Horror
63311,Mystery
63311,Thriller
9292,Action
9292,Adventure
9292,Comedy
15945,Action
15945,Thriller
691,Adventure
691,Action
691,Thriller
16300,Fantasy
16300,Comedy
16300,Science Fiction
16300,Romance
12184,Drama
117691,Action
117691,Thriller
117691,Crime
37294,Romance
37294,Western
37294,Action
37294,Mystery
9587,Drama
9587,Romance
4327,Action
4327,Adventure
4327,Comedy
4327,Crime
4327,Thriller
253,Adventure
253,Action
253,Thriller
49007,Drama
157360,Comedy
10796,Action
10796,Science Fiction
10796,Thriller
16672,Drama
16672,Thriller
63579,Documentary
699,Adventure
699,Action
699,Thriller
9663,Action
9663,Adventure
9663,Romance
9663,Science Fiction
62206,Action
62206,Adventure
62206,Comedy
13541,Comedy
13541,Fantasy
13541,TV Movie
11637,Adventure
11637,Comedy
11637,Family
11637,Romance
10201,Comedy
123229,Comedy
22620,Mystery
22620,Animation
22620,Comedy
22620,Fantasy
11898,Comedy
11898,Drama
10432,Comedy
10432,Horror
25704,Comedy
9389,Action
9389,Animation
9389,Science Fiction
43385,Drama
300665,Horror
12102,Drama
1970,Horror
1970,Mystery
1970,Thriller
28569,Drama
28569,Romance
39451,Comedy
39451,Romance
4234,Horror
4234,Mystery
96821,Drama
96821,Documentary
10650,Action
10650,Crime
10650,Thriller
48677,Adventure
48677,Action
48677,Family
63207,Horror
63207,Thriller
63207,Drama
410117,Drama
18501,Action
18501,Thriller
18501,Science Fiction
37257,Drama
37257,Mystery
37257,Crime
157353,Thriller
157353,Science Fiction
157353,Drama
157353,Mystery
14306,Comedy
14306,Family
178809,Action
178809,Science Fiction
178809,Horror
99770,Family
99770,Adventure
99770,Comedy
26617,Drama
903,Crime
903,Drama
5174,Action
5174,Comedy
5174,Crime
5174,Thriller
25073,Drama
25073,Horror
25073,Thriller
9560,Drama
9560,Romance
10447,Action
10447,Drama
10447,Science Fiction
10447,Thriller
7353,Drama
34335,Crime
34335,Drama
34335,Horror
34335,Thriller
9428,Comedy
9428,Drama
8968,Thriller
8968,Horror
8968,Drama
8968,Mystery
85431,Comedy
85431,Romance
10863,Action
10863,Drama
10863,Romance
10863,Thriller
284674,Thriller
284674,Science Fiction
1999,Drama
1999,Thriller
49012,Comedy
49012,Romance
821,Drama
821,History
11498,Thriller
277547,Comedy
277547,Romance
1959,Drama
1959,Romance
9686,Comedy
9686,Drama
9686,Romance
2026,Mystery
2026,Drama
2026,Thriller
2026,Crime
25128,Comedy
25128,Drama
25128,Romance
15212,Horror
15212,Science Fiction
15212,Thriller
52338,Drama
52338,Romance
37233,Drama
37233,Mystery
37233,Thriller
437311,Drama
437311,Science Fiction
437311,Romance
174321,Comedy
174321,Drama
18269,Romance
18269,Animation
18269,Family
18269,Adventure
3638,Comedy
8195,Action
8195,Thriller
8195,Crime
8195,Adventure
2395,Fantasy
2395,Adventure
2395,Comedy
2395,Family
47218,Comedy
47218,Romance
612,Drama
612,Action
612,History
612,Thriller
596,Drama
32985,Adventure
32985,Fantasy
32985,Action
32985,Science Fiction
11395,Fantasy
11395,Drama
11395,Comedy
11395,Family
1480,Drama
1480,Thriller
1480,Crime
58151,Horror
58151,Comedy
8092,Drama
73500,Action
73500,Crime
73500,Comedy
73500,Romance
49806,Comedy
49806,Drama
49806,Mystery
286565,Drama
286565,Mystery
286565,Romance
43549,Thriller
43549,Drama
1600,Drama
1600,Thriller
249164,Drama
12628,Drama
12628,Action
12628,Thriller
12628,Crime
404791,Adventure
404791,Comedy
9327,Fantasy
9327,Comedy
9327,Romance
9327,Science Fiction
44629,Drama
44629,Thriller
44629,Crime
97630,Thriller
97630,Drama
97630,History
9716,Music
9716,Comedy
9716,Romance
